pdb,vina,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,pKd
5ivs,7.850404106900001,-16.9799634295,0.0124766649,15.0,48.0,13.0,26.0,0.0089852525,-6.3966709363,16.0,-119.37441927,43.4434,41.1575,0.0948,45.9739,307.5197,472.6692,274.9294,257.3007,0.0,1443.0886,8.214670164989233
4fea,2.0486595747,-0.4710326082,0.026471654100000002,2.0,21.0,2.0,7.0,0.0019877579,-0.0,2.0,-22.1633318823,0.0,0.0,28.0822,5.2298,49.3256,120.2269,95.3503,75.2483,34.2834,407.7465,6.468521082957745
5mm9,1.7219631287000001,-1.2007891441,-0.0332857762,10.5,20.0,8.5,11.0,-0.007628296,-0.73349,8.0,-36.2142130203,13.2813,0.0,56.5569,24.2516,90.6301,269.2741,191.8555,107.9603,0.0,753.8098,6.420216403383191
4mlt,1.6626677971000001,-5.1388236051,-0.0854955944,0.5,9.0,0.5,2.0,-0.019701541399999998,-0.6357671273,1.0,-39.3896305934,0.0,0.0,66.7165,11.7786,64.0062,34.0791,135.8679,78.2099,0.0,390.6582,2.853871964321762
4zpe,7.985204899099999,-3.1871094037,0.3356156844,7.0,36.0,7.0,19.0,0.06554466639999999,-3.0232330679,8.0,-66.64671312029999,13.3854,2.7969,41.9147,20.4457,206.9343,230.1346,312.0098,158.4348,30.2069,1016.2631,6.346787486224656
1ibg,6.764743553200001,-12.4112009175,-0.36437582729999995,8.0,41.0,8.0,16.0,-0.0686106546,-1.7340217043000001,6.0,-40.1412891407,13.4396,0.0,102.4296,4.3366,82.876,188.0629,299.5837,171.2491,0.0,861.9775,8.55284196865778
1h3h,2.3280532506,-23.4476435327,-0.3309946974,36.5,80.0,29.5,17.0,-0.0502587348,-2.6132121579,22.0,-68.3752923288,47.3796,51.4303,34.988,79.0361,76.5739,83.8498,401.3421,166.3745,0.0,940.9743,6.657577319177793
3g9l,8.5934441467,-7.5645410492,-0.1089159301,4.5,32.0,4.5,18.0,-0.024791962,-2.2671222363,4.0,-65.4015551661,0.0,0.0,29.4082,30.5245,193.2156,316.4869,206.8733,94.8089,16.8,888.1174,6.130768280269023
1ad8,3.3980024485,-27.7164159696,-0.1332677981,11.5,40.0,9.5,21.0,-0.015564657800000001,-6.0546592190999995,8.0,-96.09998206559999,17.1196,2.4115,59.1869,44.4024,142.8784,238.4602,219.7748,163.4247,129.4983,1017.1568,6.6020599913279625
3rwh,7.8381034796,-47.0533321557,-0.8340001347,31.5,72.0,25.5,22.0,-0.15689351099999999,-13.886506029000001,18.0,-198.02770354900002,231.6736,128.6102,99.3475,68.9156,400.8087,388.0339,564.9972,326.6597,0.0,2209.0464,7.397940008672037
3lhg,7.9002080778999995,-16.0117346248,0.2837726112,3.5,28.0,3.5,15.0,0.0498553153,-4.1072946134,4.0,-59.0037106458,0.0,22.2259,17.6567,14.4015,167.3076,342.7306,73.8522,124.7476,30.9396,793.8617,7.698970004336019
4u6x,5.0849634344,-9.0556161957,-0.0206184039,16.5,35.0,13.5,9.0,-0.0112077272,-6.135959250700001,10.0,-88.5132969533,101.0109,155.4104,98.5813,127.4376,357.0746,314.1583,690.0334,128.7602,0.0,1972.4667,6.382999658879101
1b11,4.896119099,-13.1780427078,-0.502660697,12.5,33.0,10.5,17.0,-0.1226908723,-4.9858322609,12.0,-68.8239241524,9.0857,31.5589,25.811999999999998,32.3725,154.3684,167.4093,348.7385,123.6459,0.0,892.9912,7.387216143280264
3c49,8.3403534222,-15.09302373,0.071515275,3.0,28.0,3.0,14.0,0.005383816600000001,-3.6573351729000003,4.0,-70.0902432931,14.009,0.2358,11.5329,15.1294,124.9233,300.3416,78.1771,165.93,25.6898,735.9689,7.154901959985742
4l7h,5.5773185969000005,-16.6351424456,-0.4575217224,2.5,26.0,2.5,10.0,-0.1309132952,-3.5181921199,2.0,-49.194521493900005,0.0,20.8025,85.6006,12.4312,60.7743,231.459,90.7785,70.6074,50.2241,622.6776,3.6989700043360183
4uyn,7.0769682414999995,-6.7324333187,-0.0465179358,6.0,34.0,6.0,13.0,-0.0139143053,-3.4446597474000002,6.0,-63.5138673068,23.8504,0.0,0.0,50.128,158.0048,298.6643,257.6252,151.6207,0.0,939.8934,8.397940008672037
4yqv,2.2502152918,-2.5700242667,0.0004180893,3.0,17.0,3.0,7.0,0.0015036545,-0.0,4.0,-30.3308823954,3.8514,0.0,2.1,0.0637,104.9141,248.9439,133.9934,127.1839,0.0,621.0504,5.709965388637482
1csr,5.385510961900001,-53.287094963,-0.7284435887999999,21.5,52.0,21.5,6.0,-0.1436320118,-11.888083184400001,26.0,-206.572297262,73.747,198.3465,82.2182,60.1072,405.5959,30.115,247.4901,254.9604,17.9041,1370.4844,7.376750709602098
4jxv,3.0507169382,-20.1660092727,-1.0811862647,7.0,23.0,7.0,8.0,-0.2399832582,-6.598879459500001,8.0,-82.45488960029999,2.0625,77.4079,31.9812,25.3945,91.0644,158.4483,66.8714,96.4827,0.0,549.7129,4.508638306165727
5a3n,4.6445246941,-17.2098538653,0.3540629579,9.0,22.0,9.0,4.0,0.061019033099999995,-4.8782879570999995,10.0,-97.2276642614,28.8363,6.242000000000001,36.9231,54.9675,128.5913,186.3227,97.7057,223.0666,0.0,762.6552,7.721246399047171
4pd7,4.3327621044999995,-16.5648814385,-0.4994113363,3.5,16.0,3.5,1.0,-0.1206004258,-5.1173983622,4.0,-46.3631180657,0.0,14.2295,74.0377,9.3244,60.9985,124.9836,87.2216,100.5388,0.0,471.3341,3.9208187539523753
2exg,3.4380216629,-3.8984846801999997,-0.0213665637,3.5,18.0,3.5,10.0,-0.0081784135,-1.3507878491,6.0,-35.4015134352,0.0,0.0,48.026,16.5579,67.5244,93.5798,85.6864,148.6435,0.0,460.01800000000003,4.301029995663981
3aox,8.7953812786,-3.7698305342,0.1716659996,3.0,36.0,3.0,18.0,0.0274251911,-0.73349,4.0,-35.6886307608,24.3339,5.0204,0.0,12.8246,206.7015,145.2316,365.7965,177.6505,0.0,937.559,9.080921907623924
5obr,6.0884951127999996,-11.308538065599999,-0.2165335829,2.0,21.0,2.0,13.0,-0.0454983847,-0.44138494240000004,2.0,-31.569644316799998,42.343999999999994,102.7954,0.0,1.9479,14.249,301.8085,127.0904,36.9694,3.3833,630.5879,5.356547323513811
2pj9,7.1348552723,-27.048991413899998,-0.9741480690000001,10.5,33.0,8.5,13.0,-0.2189907744,-11.7525929116,10.0,-107.41085262899999,75.1642,107.6309,54.8005,15.1016,140.1275,212.83700000000002,145.6799,86.3397,0.0,837.6813,7.920818753952375
4o43,4.2899702979,5.0421349533,-0.043444612699999996,4.5,19.0,4.5,9.0,-0.0058605851,-0.0,6.0,-3.6245335001,0.0,0.0,1.8034,0.6658,103.7815,160.5345,342.0156,57.8258,0.0,666.6266,4.301029995663981
5mmn,6.5562636905,-10.7556406385,-0.23351387640000001,3.0,24.0,3.0,13.0,-0.0545423164,-2.0819673556000002,4.0,-64.4890569316,9.5828,10.2632,0.5257,34.8071,137.6031,172.6478,277.3148,91.4176,0.0,734.1621,6.698970004336019
5cgj,7.6036360662,-16.6972910533,-0.2859657463,5.0,32.0,5.0,19.0,-0.0540068687,-2.8380488476,6.0,-42.5867594705,51.6149,37.6277,40.8087,15.1499,59.9163,190.1006,216.8686,144.0708,0.0,756.1575,5.221848749616356
4gw5,4.7109422136,-20.5174390015,-0.8354377751000001,24.5,95.0,24.5,23.0,-0.1414242069,-5.8803233159,10.0,-109.364774636,152.8107,28.2964,56.9801,38.7714,408.1084,60.1368,552.4028,210.8383,0.0,1508.3449,5.455931955649724
3uec,2.0678256684,-21.5726157108,-0.3455251343,19.0,37.0,16.0,7.0,-0.055847928600000006,-7.5417515149000005,16.0,-110.718921869,123.6512,170.5576,0.0,15.9095,226.4574,6.5582,242.7936,114.3619,0.0,900.2894,4.209714835966758
4tx6,4.3782238147,-10.3839152414,-0.1249940309,2.0,19.0,2.0,7.0,-0.03520752,-3.0020498767,2.0,-62.0033326706,0.0,11.953,7.4305,28.1656,134.0791,101.5943,131.2827,93.5934,0.0,508.0986,5.585026652029182
4r6v,5.2918442889,-28.3217432619,0.216526248,11.0,48.0,11.0,15.0,0.06949084259999999,-4.4782058366,8.0,-107.820345427,2.2573,70.6024,13.460999999999999,43.5863,142.446,319.5818,277.0188,324.0008,99.5833,1292.5377,7.452225294612178
5xkm,7.334203184500001,-6.9570132869000005,0.0463345633,6.0,27.0,5.0,13.0,0.0029046204,-0.2830904655,6.0,-35.7586790558,0.0,0.0,6.8769,10.2549,163.6035,323.1659,244.2107,108.0425,0.0,856.1544,7.619788758288393
4y2b,5.3858483673,-1.1736133396,0.0482196326,4.5,22.0,4.5,7.0,0.0037114594,-1.8691085576,4.0,-27.6043240278,0.0907,0.0,28.3465,0.0,47.9278,172.1749,165.8417,56.2197,0.0,470.6013,8.356547323513812
1jwt,5.9296358486,-18.530436596199998,-0.5629975844,6.5,34.0,6.5,11.0,-0.1429131916,-5.1079290063,8.0,-94.0429900445,55.2,21.9423,70.9301,32.3509,91.345,182.5379,221.5521,219.0939,0.0,894.9522,7.853871964321763
3soq,4.0447865956,-13.8992467503,-0.17262687149999997,28.0,56.0,22.0,12.0,-0.0399825399,-9.962041133,18.0,-97.5883066246,111.8418,18.9353,13.3924,108.6449,294.9907,115.2657,294.6975,98.6087,0.0,1056.377,4.568636235841012
1njf,6.4960148219,-56.4208062947,-1.2046619713,9.5,31.0,9.5,0.0,-0.2680465856,-16.2342388163,16.0,-206.220229397,77.1643,165.0033,160.4576,22.0587,105.006,36.6455,83.057,238.0932,0.0,887.4856,6.2076083105017466
3dt1,7.406906713300001,-15.0162860062,0.2518951358,7.0,32.0,7.0,14.0,0.0370045705,-2.1941106417,8.0,-52.750260966899994,16.0026,9.199,1.6222,22.9,100.5185,171.829,380.5708,227.4585,0.0,930.1006,8.619788758288394
3tdz,2.3747545589,15.0069780181,-0.1403679813,41.0,96.0,35.0,35.0,-0.037114594,-8.792190597100001,22.0,-118.33711771200001,93.8834,41.5627,61.8438,79.9789,476.7779,50.972,832.6924,148.1756,0.0,1785.8867,6.823908740944319
4c72,5.0688706638,-2.6358990036,-0.0596033974,3.5,16.0,3.5,8.0,-0.011134378200000001,-1.1385085082,4.0,-42.5269506959,0.0,0.0,15.9344,0.0,63.568999999999996,0.0,258.7985,37.3001,0.0,375.602,5.086186147616283
2c69,5.4450850197000005,-14.2559796118,0.14556109050000002,4.0,24.0,4.0,10.0,0.018234561399999998,-1.7125744566999999,6.0,-55.57007525310001,26.8271,5.5741,28.5393,67.3439,142.1096,306.215,125.4219,43.2463,30.0062,775.2834,4.585026652029182
4w4s,5.2030773291,-32.7680569533,-2.0875712192,5.5,30.0,4.5,17.0,-0.4196956431,-6.971793110399999,6.0,-64.7090599222,54.5687,130.6631,24.8985,11.1887,46.1606,337.2139,158.326,72.0445,0.0,835.064,5.022276394711152
2xp2,6.20312493,-14.5905977498,-0.0052004441,5.5,30.0,5.5,12.0,-0.0028752808000000003,-1.4898355484,6.0,-47.9266620242,3.2395,0.0,15.712,9.3592,144.2312,251.793,212.1139,141.2271,37.2793,814.9552,9.0
4fse,5.9830705951,-17.2633106165,0.1861304224,5.5,30.0,5.5,12.0,0.0299777363,-6.1335313988,6.0,-81.6121609346,25.4975,19.3106,79.854,35.9078,183.5665,145.1868,293.9961,128.0566,122.3477,1033.7236,7.397940008672037
1rgk,2.4330230045,-28.593574655900003,-0.8493374106,5.5,23.0,5.5,0.0,-0.2215506545,-5.7865832939,4.0,-104.657983975,10.4692,92.8165,67.1255,4.4346,160.19899999999998,51.9445,7.272,88.4874,0.0,482.7487,4.308918507877031
4ezt,5.3189467444,-38.7254407286,-0.1828663919,32.0,71.0,26.0,18.0,-0.0299777363,-8.099343278,24.0,-169.327054023,185.3859,25.7004,28.3279,129.3772,346.7749,23.6358,635.1752,397.6777,0.0,1772.055,5.130768280269023
4z2j,6.2350097403,-12.752171078900002,-0.0167089022,12.0,51.0,12.0,20.0,-0.0066820939,-4.442602232,16.0,-47.1882943157,8.5279,37.7464,52.7845,47.1543,126.8151,178.6755,444.2664,155.0726,0.0,1051.0427,6.427128397799519
4q6f,3.8637612636000003,-20.0596972321,-0.08729997980000001,22.5,42.0,18.5,9.0,-0.0097407472,-8.6532089119,14.0,-105.046454949,136.8247,34.719,2.0452,31.6966,198.6205,0.0,362.0568,142.2847,0.0,908.2475,5.6020599913279625
3ee2,2.7590739793,-9.4483707511,0.23234029239999998,4.0,21.0,4.0,6.0,0.0311439854,-0.1286761507,4.0,-49.0971140219,23.6508,0.0302,16.5814,12.71,144.6498,230.6416,75.4262,86.4769,0.0,590.1669,4.187086643357143
4mqp,6.6041899271,-26.362796849099997,-0.9046939009,6.5,26.0,6.5,7.0,-0.1926438136,-6.0748521988,6.0,-125.257661876,7.4138,99.2982,30.8317,33.9972,156.6478,263.8934,106.8112,113.4453,0.0,812.3386,4.982966660701218
5dht,2.7293749692000002,-16.435809203199998,-0.21126712469999998,10.5,35.0,10.5,7.0,-0.0789088542,-4.6526737680000005,14.0,-83.03326847,0.0,9.7667,72.8908,20.7134,149.5203,108.4548,57.5536,140.8741,0.0,559.7737,6.0
4yw2,2.7863304676999996,-13.0321295421,-0.3887790396,12.0,32.0,12.0,2.0,-0.0945688657,-5.9258363704,8.0,-51.9455857624,38.0035,48.0687,43.6166,6.6454,88.3702,18.8065,111.5563,95.4179,0.0,450.4851,2.7958800173440754
3fh5,8.001055617999999,-2.6615491489,0.2428512041,5.0,20.0,5.0,14.0,0.048997132,-1.4523248698,6.0,-39.2578297753,17.5205,5.3749,11.7753,5.228,64.0669,337.0904,201.838,101.84200000000001,0.0,744.7360000000001,7.0604807473813835
3kag,2.2278658515000003,-13.3994026549,-0.1789642251,5.0,23.0,4.0,8.0,-0.0362270711,-2.9257375770999996,4.0,-59.316705498599994,11.3237,25.8214,43.2178,15.3155,146.8795,241.1874,31.1016,60.4204,0.0,575.2673,5.180456064458132
5a69,4.4673135101,-23.43353852,-0.2252107696,7.0,25.0,7.0,6.0,-0.080317155,-7.1801482798,8.0,-80.1941047176,22.1163,45.5351,73.2161,28.9189,64.7017,115.23200000000001,80.6949,131.0387,0.0,561.4537,8.958607314841776
3nok,2.4288567813,-0.9675613287999999,0.610410378,9.0,14.0,9.0,9.0,0.1235270509,-0.5949190692,12.0,-28.1579256053,17.142,11.1851,0.0,24.6953,46.2574,110.8623,187.1061,128.0204,0.0,525.2686,4.1938200260161125
4bhz,4.0749917138,-3.9635525781,0.0025525452,0.0,13.0,0.0,5.0,-0.0013862960999999998,-0.73349,0.0,-29.248669244699997,0.0,0.8034,2.0212,10.4645,71.324,194.7712,148.9088,17.2783,0.0,445.5714,4.271646217978772
4n99,3.8662991389999997,-7.7604782329,-0.27578490510000003,1.0,17.0,1.0,10.0,-0.059610732300000004,-0.8922245709000001,1.0,-15.8587652853,20.2284,42.0233,18.5069,2.9023,17.7978,136.8844,85.0688,65.497,58.8574,447.7663,3.665546248849069
2jkm,6.210166434,-17.8917868532,0.2971147943,10.0,37.0,10.0,11.0,0.0527085914,-2.9075616949,10.0,-78.31896687220001,5.7017,21.3268,28.0286,16.976,209.7174,200.9148,265.068,202.9744,52.3324,1003.0401,7.750557038557417
2srt,4.0256938509,-17.2369489859,-0.1073535964,14.0,35.0,12.0,16.0,-0.026368965499999997,-2.9064467901,10.0,-55.6546686548,24.4479,24.6662,0.0,35.2549,72.5104,292.9315,223.9569,99.4681,0.0,773.2359,6.638272163982407
4bo5,6.4761225731,-21.9904262846,0.5144332115,3.0,19.0,3.0,7.0,0.0839626003,-0.6507083186,4.0,-59.464225007399996,6.4275,0.0,0.0,24.011999999999997,44.0966,305.1976,142.60399999999998,150.8029,62.0369,735.1775,7.096910013008057
4pp7,7.3154845197,-16.2614953047,-0.045835790099999996,6.0,29.0,6.0,10.0,-0.0150512148,-2.598094929,8.0,-63.052634125,15.8472,9.4004,37.043,19.7956,96.1252,343.5145,188.4751,134.1014,12.4672,856.7696,7.9586073148417755
1zsb,3.3455799182,-6.9785998976,-0.2186386992,2.5,13.0,2.5,1.0,-0.0528992988,-3.0892104933999995,4.0,-51.782633624,0.0,0.0,70.3113,25.1677,141.1726,79.3024,107.0686,22.5274,0.0,445.55,0.6020599913279624
1ctr,3.5090381647,-8.776559925199999,-0.0162247988,5.0,28.0,5.0,12.0,-0.0070268342,-0.0,8.0,-44.108597187600004,0.0,16.8047,0.0,0.1682,56.4493,233.9528,101.6731,169.0055,0.0,578.0536,6.0
3byo,8.341659034400001,-14.5495223098,0.5978236896,4.0,40.0,4.0,16.0,0.09263978699999999,-2.1833283387,6.0,-55.814965559399994,2.5283,5.8248,27.8337,8.7439,231.4102,356.1889,267.0684,102.6982,0.0,1002.2964,8.154901959985743
3l0k,7.4314639585,-39.4202024566,-1.5251604268,6.0,24.0,6.0,2.0,-0.32960840129999996,-12.1704621646,6.0,-135.017127741,0.0,99.3697,51.2968,14.6156,67.7083,0.0,78.3555,128.7824,0.0,440.1283,4.619788758288394
5heb,4.1138080046,-20.6407900148,-0.34126355740000003,25.0,49.0,20.0,11.0,-0.07901887769999999,-12.4523277018,14.0,-145.70197925899998,27.783,107.6854,60.7315,77.9823,299.9818,42.6973,351.8424,168.4572,0.0,1137.1609,6.096910013008057
4man,8.455775408600001,-19.3311362849,0.0003080658,17.0,65.0,17.0,26.0,-0.003300705,-3.4064449183999996,14.0,-106.657837126,2.3574,31.8992,10.8799,31.865,344.7497,510.1523,226.1192,361.9093,65.47399999999999,1585.406,11.0
1k9q,1.9080862162,-10.8183980429,-0.1092680053,16.5,46.0,15.5,19.0,-0.023691727000000003,-1.8989175912,20.0,-37.2832967,2.5540000000000003,0.6434,81.6356,5.5756,54.2203,118.4117,144.0304,70.8283,0.0,477.8993,3.154901959985743
4w4y,8.903064945499999,-12.1436824447,-0.1335391894,5.0,32.0,5.0,14.0,-0.0201122958,-2.3518990105,6.0,-52.8741914373,1.021,12.0336,0.000100000000001,52.9512,131.0471,355.9483,278.6042,67.4466,0.0,899.0521,6.462432742847325
1bmk,5.2655486724000005,-14.7763614272,0.1396491611,3.5,23.0,3.5,10.0,0.0217699832,-1.7737988669999998,4.0,-35.5848125862,23.826999999999998,0.8686,21.5084,9.882,58.63399999999999,227.6656,208.4385,43.2687,32.9311,627.0239,7.602059991327962
3d7g,5.0794109150999995,-42.442592011,-1.8505659304,9.0,20.0,7.0,2.0,-0.37032443119999997,-10.3489424382,8.0,-128.924693786,23.9267,143.2499,14.9201,33.6417,128.0335,48.8013,59.0981,211.7969,0.0,663.4682,7.769551078621726
4whz,8.4556507153,-2.9028086797,-0.037415324900000005,6.0,35.0,6.0,11.0,-0.0033520493,-2.8324889933999997,6.0,-72.6225735087,13.9867,3.4683,0.0,44.4015,319.0699,381.4384,200.43200000000002,110.8054,61.43,1135.0322,9.0
1g3f,1.2039064766,-8.3598202468,0.0728942362,31.5,66.0,25.5,18.0,0.0048116944,-3.3702031775,20.0,-44.8015692,51.4448,5.4804,0.0,25.0017,70.1002,42.3544,292.0097,83.6439,0.0,570.0351,6.366531544420414
1udt,6.808518236399999,-10.9002041826,0.0336818608,6.0,33.0,6.0,8.0,0.0039021667999999997,-1.3676801238,4.0,-50.3851077921,2.7508,0.0,22.3797,25.584,146.5713,232.8483,349.1676,234.5067,0.0,1013.8084,9.30102999566398
2ayp,7.2322114,-17.674607799100002,-0.1971034328,3.5,25.0,3.5,13.0,-0.051417649,-2.8279926997000002,4.0,-59.2313419324,6.1752,5.7362,46.2234,44.672,64.3524,278.1163,209.4698,131.4549,0.0,786.2002,8.154901959985743
2wwj,5.5241992511,-32.3558942525,-1.163975281,8.0,25.0,7.0,12.0,-0.23075595399999999,-5.6567849035,8.0,-65.520754626,12.2436,112.7543,17.4141,62.8462,63.0427,260.7723,113.4402,109.9079,0.0,752.4213,4.481486060122113
5u66,3.7772901275,6.3204173159,-0.3495153199,48.0,144.0,43.0,45.0,-0.0672096887,-12.0294707168,22.0,-159.733298219,93.5777,28.6342,42.0816,132.1451,860.5942,303.7759,443.0097,212.9017,0.0,2116.7201,3.0
5kbq,6.2499802712,-16.64508857,0.0778746333,7.5,34.0,7.5,10.0,0.003227356,-3.1180879947,8.0,-64.2973153107,43.821999999999996,14.5924,61.6685,7.0977,116.0632,220.2658,215.8408,216.7816,0.0,896.132,7.0
5tpg,9.1924487552,-25.972829555700002,-0.2226362197,8.5,43.0,7.5,19.0,-0.0623759896,-4.8419508625,10.0,-98.2140762832,55.2006,3.1416,14.1121,2.1516,231.6304,297.0963,312.4026,273.2035,62.5439,1251.4826,7.853871964321763
4loq,6.425805159099999,-17.4143582122,0.5293157236,3.5,25.0,3.5,9.0,0.0826496532,-1.5154270145,4.0,-38.4291474431,9.4215,12.8913,0.0,6.5449,119.1776,251.4645,250.4165,62.9137,13.607999999999999,726.438,8.154901959985743
4pis,2.7806459202,-29.948675426199998,-0.0483443259,10.0,32.0,8.0,11.0,-0.0194888293,-3.2853310496,8.0,-137.803010779,28.6364,0.6024,44.4434,28.1785,167.1537,159.8592,101.6984,236.0915,130.1729,896.8364,7.221848749616356
3p8e,-0.5382936412,-18.7403907738,-0.0720507227,10.0,15.0,10.0,6.0,-0.008369120899999999,-6.0223269799,10.0,-59.95767307,100.021,75.3282,24.9339,2.4476,36.0648,13.4959,206.2613,99.8775,0.0,558.4302,5.154901959985743
1g50,7.3226140425,6.5464275896,-0.21147250190000003,1.0,20.0,1.0,16.0,-0.0583344597,-3.3519612812,2.0,-25.574603164899997,9.0546,6.9872,51.9877,1.4468,17.3415,150.1382,391.3198,78.578,0.0,706.8538,6.275724130399211
4ec0,4.7397683706,-5.102911934700001,0.1232116502,6.5,29.0,6.5,16.0,0.0257601688,-2.3993118041,8.0,-48.4507773037,67.8737,5.3642,26.0107,12.8294,128.9011,306.9861,76.4619,201.3947,0.0,825.8218,6.073143291050307
3u4w,10.9152040531,-16.8292092298,-0.3648599307,10.0,52.0,10.0,19.0,-0.06850796599999999,-7.0597752359,10.0,-171.407730436,11.3108,44.3816,15.1682,66.1321,336.4849,259.3035,532.0189,239.9342,0.0,1504.7342,8.397940008672037
2wi5,-1.923650874,-15.1039380612,-0.45933344270000004,4.0,25.0,4.0,9.0,-0.1029379866,-4.6333756461,6.0,-107.68317546200001,10.0465,6.0066,66.2482,36.4707,197.9479,143.5584,112.9684,125.8537,0.0,699.1004,6.045757490560675
3v4v,4.4612915572,-25.5280998989,-0.9240947114,7.5,35.0,6.5,20.0,-0.2067855008,-3.7611973569,8.0,-51.923977146999995,3.4922,24.9011,44.019,15.522,74.8056,251.3428,77.5524,86.2005,83.3364,661.172,7.376750709602098
4bbe,6.7691224885,-16.9437950376,0.1695168739,5.0,29.0,5.0,11.0,0.0253714191,-1.9040520212,6.0,-43.0200540182,12.4854,13.1074,16.0817,20.3093,87.5919,280.1512,208.4752,107.2507,0.0,745.4528,8.443697499232712
4bie,5.749938133500001,-9.9712244278,0.014083008000000001,5.5,22.0,5.5,7.0,-0.0017310364000000002,-4.4185730996,10.0,-69.5565853087,43.0097,5.9847,10.6578,28.8551,164.6543,178.1496,182.0657,112.1308,0.0,725.5077,6.6020599913279625
5t2b,5.6800145317999995,-12.8375933243,-0.1994432659,4.5,27.0,4.5,10.0,-0.0348847844,-1.9859608494999998,6.0,-61.159166364499995,7.4165,7.0566,37.3113,46.7493,145.6232,276.4491,137.975,84.2171,0.0,742.7981,8.301029995663981
4m3f,6.812779813300001,-0.4932206807,-0.0180805285,6.0,21.0,6.0,10.0,-0.0051417649,-1.2974777959000001,10.0,-36.2448508976,0.0,0.0,19.6879,11.3325,113.2239,270.7072,270.4805,85.5659,0.0,770.9979,5.309803919971486
4kin,8.5316109397,-8.1243186125,-0.17837743309999998,5.0,28.0,5.0,16.0,-0.042315038099999994,-1.9736455524,6.0,-39.618626171399995,4.4959,13.7303,8.0815,23.4222,154.1866,268.5504,347.8642,79.6579,53.7072,953.6962,8.318758762624412
5eqq,6.6836855733,-13.1197742622,-0.1661281501,15.0,52.0,14.0,19.0,-0.03447403,-5.612804843099999,10.0,-136.59016306,14.2067,9.6011,0.0,48.3796,322.4922,151.3391,589.6619999999999,133.9744,0.0,1269.6551,8.173925197299173
3w33,8.8404689089,-14.0791865171,-0.0538675056,7.5,35.0,7.5,13.0,-0.0146844698,-2.652959981,8.0,-78.8815243626,1.2498,5.1779,35.9696,21.006999999999998,151.1583,336.8819,229.46900000000002,164.2305,57.2355,1002.3795,7.443697499232713
1dub,4.5992903658,-33.5241311104,-0.1837685846,23.5,54.0,23.5,6.0,-0.062478678200000005,-5.720195114,30.0,-148.716689173,83.8502,109.5092,64.1051,35.1176,363.74199999999996,96.3541,372.9099,210.3307,0.0,1335.9188,5.795880017344076
2r1x,3.2043024093,-19.8616109227,-0.7065489123,13.5,32.0,13.5,5.0,-0.1546416967,-8.5043691211,12.0,-91.72732544,50.3853,75.0864,95.5252,7.2614,183.8774,18.0532,87.5762,123.4606,0.0,641.2257,4.795880017344076
5fkj,5.9699337892,-19.4912278123,0.1551258001,22.0,49.0,19.0,22.0,0.0378407491,-1.3081574103,18.0,-62.293904734099996,0.0,11.5225,96.9558,23.1697,179.7171,499.9232,346.6544,172.0493,0.0,1329.9920000000002,10.657577319177793
3l79,6.5696938924,-30.8919435662,-0.7571523873999999,3.5,19.0,3.5,2.0,-0.1544216497,-8.3571576781,4.0,-122.194724994,0.0,0.0,58.3227,16.7519,66.9091,101.3093,0.0,104.2006,13.2378,360.7314,2.4609239012072237
1q0b,6.3900475216,-5.933215279800001,-0.24563846609999998,4.5,20.0,4.5,8.0,-0.0527599357,-3.1562514794,6.0,-76.02870302640001,0.451,0.0772,35.055,25.3881,158.8513,148.0279,191.0149,116.6252,0.0,675.4906,5.173925197299173
1zh7,1.994872753,-5.5500547736,-0.15973945220000002,39.0,88.0,30.0,27.0,-0.0373199712,-3.1044157411,24.0,-41.4957811143,6.0414,49.3726,24.1651,37.1324,130.9895,65.5007,513.5527,147.1214,0.0,973.8758,6.301029995663981
4p4i,6.1521180354,-54.430539858900005,-2.6785441122,12.0,28.0,10.0,8.0,-0.5486725246999999,-12.326064733199999,14.0,-140.694230317,0.0,199.3295,9.6709,5.9693,19.7749,160.5241,49.4806,105.0731,0.0,549.8224,7.455931955649724
3uij,3.6404722377999996,-12.5591751901,-0.42092790630000004,9.5,28.0,7.5,10.0,-0.06624148190000001,-3.6398120968,8.0,-53.8172835397,36.2715,54.1294,14.6167,10.21,98.1545,47.4012,286.8754,86.3766,0.0,634.0353,4.703334809738468
2bdj,6.9433410333,-13.5546531483,-0.10313602890000001,7.5,34.0,7.5,15.0,-0.038698932400000004,-3.4021026576,8.0,-65.1694349207,7.6122,8.0697,48.3875,15.7783,150.6182,301.0399,293.1656,121.051,0.0,945.7224,9.346787486224656
3snb,0.9480431599,-42.4903275402,-0.9889278925,20.5,45.0,15.5,12.0,-0.1988784786,-4.7156438844999995,14.0,-141.114776809,0.8345,85.2591,60.7824,115.4302,216.1979,29.0342,188.0937,213.2175,0.0,908.8495,4.384681343388522
2alv,1.6176021715,-18.2831844521,-0.2612397984,18.0,40.0,15.0,18.0,-0.0604469109,-3.8747489438,14.0,-132.224782655,0.0,6.9353,35.3369,75.9635,275.2578,47.2822,480.8413,198.4567,0.0,1120.0737,4.154901959985743
3qg6,6.1111746236,-21.1844087934,-0.6564588802,17.0,58.0,16.0,19.0,-0.1283754198,-4.3981747427,12.0,-89.47358939620001,2.9703,41.5126,64.0855,29.7326,194.9309,302.3287,314.8052,197.6718,0.0,1148.0376,9.136677139879543
