index2,vina,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,delta_rf,nro_protein,protein,nro_decoy,decoy_name
931,2.017317547,-14.903621942200001,0.1210038453,13.5,49.0,11.5,18.0,0.0242931888,-1.5101532214,14.0,-29.699582222199997,69.5141,13.4859,0.0,24.6013,46.7809,48.8787,112.0832,45.5807,0.0,360.9248,2.04,140,1b6j,436,ligand_decoy_230
932,1.863357996,-11.0478703894,-0.0808892772,13.5,49.0,11.5,18.0,-0.0239044391,-0.9540797826,14.0,-17.1078254063,49.8328,16.4019,0.0,62.0231,86.6838,14.0203,145.718,29.9544,0.0,404.6343,1.91,140,1b6j,125,ligand_decoy_156
933,1.6387340184,-8.7757750909,-0.1905680369,13.5,49.0,11.5,18.0,-0.0400925634,-0.7364679693999999,14.0,-20.1657965606,48.8751,6.5269,4.4432,17.5586,56.4446,61.6393,82.1066,46.4579,0.0,324.0522,1.64,140,1b6j,341,ligand_decoy_256
934,0.7269546041,-3.9897308362,-0.0837718929,13.5,49.0,11.5,18.0,-0.0154252947,-0.0,14.0,-10.0934165269,0.0,0.0,0.0,20.111,39.8602,16.3634,21.1479,25.587,0.0,123.0695,0.78,140,1b6j,49,ligand_decoy_282
935,3.9928628385,-22.415153669099997,-0.623759896,9.0,27.0,9.0,1.0,-0.1466539906,-3.7501950069,8.0,-51.3278404844,0.0,17.4834,118.6656,11.1347,32.1756,89.2978,64.9687,148.6376,0.0,482.3634,4.0,162,1ugx,20,ligand_decoy_4
936,2.6671823521,-17.7213237772,-0.4363018567,9.0,27.0,9.0,1.0,-0.0899038693,-1.7371683764,8.0,-31.666560350500003,0.0,13.2525,86.8724,8.663,32.8065,73.8444,51.4138,116.4834,0.0,383.336,2.7,162,1ugx,346,ligand_decoy_84
937,2.4367931431,-14.822806014000001,-0.3922484473,9.0,27.0,9.0,1.0,-0.0901899304,-1.7155744308,8.0,-27.8662826464,0.0,15.5507,81.9176,7.5769,12.5927,79.6337,38.5359,125.2099,0.0,361.0174,2.49,162,1ugx,45,ligand_decoy_202
938,2.3026598268000003,-15.999888761300001,-0.2697116079,9.0,27.0,9.0,1.0,-0.0623759896,-1.3293406015,8.0,-32.067001881100005,0.0,13.9696,102.6067,8.6895,25.1555,77.4363,37.0794,125.1578,0.0,390.0948,2.32,162,1ugx,55,ligand_decoy_14
939,2.2082156544,-8.325800980599999,-0.1459425053,9.0,27.0,9.0,1.0,-0.0392930593,-2.7003947793000003,8.0,-23.3514096447,0.0,0.0,86.805,11.699000000000002,40.2179,65.2005,53.5238,34.6516,0.0,292.0978,2.35,162,1ugx,325,ligand_decoy_500
940,2.1122751624,-12.757569565299999,-0.2549831287,9.0,27.0,9.0,1.0,-0.054791703,-0.7354850928,8.0,-28.105341707199997,0.0,11.3271,116.0364,9.9981,18.4239,81.4755,46.721,83.6717,0.0,367.6537,2.12,162,1ugx,110,ligand_decoy_106
941,2.0029851524,-13.162683427200001,-0.2574623249,9.0,27.0,9.0,1.0,-0.0530606666,-0.7970762481,8.0,-22.7081022402,0.0,14.2017,61.6975,7.5243,31.86,65.7241,37.5612,100.9243,0.0,319.4931,2.01,162,1ugx,480,ligand_decoy_198
942,1.8964090554,-12.0818639075,-0.2106363233,9.0,27.0,9.0,1.0,-0.0390363378,-0.8447457631999999,8.0,-27.639443529,0.0,9.7097,124.9613,6.6718,27.136,86.3372,29.6335,79.4681,0.0,363.9176,1.91,162,1ugx,67,ligand_decoy_172
943,1.7825860772,-8.7657409477,-0.1341333163,9.0,27.0,9.0,1.0,-0.024131821,-0.1276639345,8.0,-10.780227223299999,0.0,0.0,72.49,7.1482,30.2599,96.0601,66.3011,41.5425,0.0,313.8018,1.8,162,1ugx,229,ligand_decoy_449
944,1.622406531,-8.7826185526,-0.1143804306,9.0,27.0,9.0,1.0,-0.0213959033,-0.3354103072,8.0,-13.7925312902,0.0,5.9573,55.4475,14.5087,17.8173,56.3384,73.0051,44.8304,0.0,267.9047,1.62,162,1ugx,262,ligand_decoy_174
945,0.9948031474,-6.1647780728,-0.1540329,9.0,27.0,9.0,1.0,-0.0291562275,-0.042579094500000005,8.0,-9.191319180599999,0.0,0.0,89.5037,0.0,7.4502,38.2899,9.1087,36.4527,0.0,180.8052,1.02,162,1ugx,408,ligand_decoy_413
946,7.935870361699999,-19.484266992200002,-0.1822135858,11.5,43.0,10.5,21.0,-0.0277185871,-4.949619859599999,14.0,-78.4184354511,66.8626,44.9207,10.0481,41.7646,123.0256,215.0817,590.827,172.1889,0.0,1264.7192,8.44,147,1b6m,481,ligand_decoy_0
947,4.7353894353,-13.4468814626,-0.0323542439,10.0,43.0,9.0,22.0,-0.005545184399999999,-1.5424854606,14.0,-41.9075990748,43.3909,37.541,0.0843,36.2947,91.6344,138.6358,338.6276,115.302,0.0,801.5107,4.88,147,1b6m,157,ligand_decoy_287
948,4.5019709126,-16.716237099999994,-0.0787254817,10.0,43.0,9.0,22.0,-0.0165915438,-2.9552752194,14.0,-54.605044464799995,52.323,42.7939,15.2937,35.787,109.5813,129.5038,315.9449,106.6981,0.0,807.9257,4.6,147,1b6m,392,ligand_decoy_20
949,4.3232120647,-14.655783006099998,-0.0248506412,10.0,43.0,9.0,22.0,-0.0144644228,-3.3553646748,14.0,-44.6643478908,51.6919,28.0067,26.7476,38.8427,81.2825,124.0204,288.4669,106.3235,0.0,745.3822,4.48,147,1b6m,111,ligand_decoy_324
950,4.1228666061000006,-14.4154476727,-0.0700116205,10.0,43.0,9.0,22.0,-0.0185426272,-2.1089671225,14.0,-37.7346057621,42.8428,28.8535,17.9008,26.5891,58.0208,162.4723,195.2897,71.7708,0.0,603.7398,4.17,147,1b6m,258,ligand_decoy_110
951,3.8756364667,-14.0992694733,-0.2733863928,10.0,43.0,9.0,22.0,-0.0453956961,-1.0521840701,14.0,-49.286479135200004,53.0479,34.4632,1.6084,32.8387,99.5523,181.7952,340.761,112.4688,0.0,856.5355,4.06,147,1b6m,456,ligand_decoy_24
952,3.6554354338,-14.585925418499999,0.0844833782,10.0,43.0,9.0,22.0,0.0209191348,-1.4325646492,14.0,-36.4752474415,60.051,46.3863,20.8445,30.5188,68.5759,128.6483,214.9109,61.8783,0.0,631.814,3.73,147,1b6m,186,ligand_decoy_9
953,3.487964997,-14.7234767982,-0.0160560961,10.0,43.0,9.0,22.0,-0.0063373536,-2.8973808537,14.0,-40.9090771331,53.6133,33.1424,19.2496,29.4485,101.8898,127.3254,181.5041,107.064,0.0,653.2371,3.64,147,1b6m,25,ligand_decoy_461
954,3.287282133,-10.064913105499999,-0.0054424958,10.0,43.0,9.0,22.0,-0.0123373018,-2.0960283589,14.0,-30.585652812,42.8721,14.298,0.0268,31.0812,96.0454,144.735,262.3689,100.8707,0.0,692.2981,3.42,147,1b6m,263,ligand_decoy_326
955,2.9101289099,-9.9873978823,0.0126527025,10.0,43.0,9.0,22.0,0.001613678,-1.2998616384,14.0,-30.632434804200006,92.5392,6.9892,0.0,18.6057,59.0472,76.4138,206.0035,39.5747,0.0,499.1733,2.97,147,1b6m,296,ligand_decoy_317
956,1.6353672993,-0.6796078245999999,-0.0106429399,10.0,43.0,9.0,22.0,-0.0013422867,-0.0,14.0,-5.555665972100001,19.5217,0.0,0.0,10.695,10.3011,108.3455,74.0497,32.67,0.0,255.583,1.66,147,1b6m,366,ligand_decoy_418
957,8.2469801452,-26.654637850300002,-0.4197836619,7.5,39.0,7.5,15.0,-0.1062020171,-5.9454205534,10.0,-89.5410924809,32.1307,30.4238,26.8091,64.7961,150.2836,93.3742,513.4659,182.0567,0.0,1093.3401,8.43,99,1b6l,481,ligand_decoy_0
958,5.4036721743,-23.661052448200003,-0.2840586723,7.5,39.0,7.5,15.0,-0.0486230521,-2.0048115425,10.0,-68.1955799439,43.2739,34.7507,20.6758,77.0804,115.4245,101.3916,249.4745,112.6729,0.0,754.7443,5.54,99,1b6l,486,ligand_decoy_242
959,5.2576783247000005,-22.8862009471,-0.3288162321,7.5,39.0,7.5,15.0,-0.0726448496,-2.0324567806,10.0,-52.9558948884,43.9171,32.3338,10.6815,75.2053,129.3119,90.3772,208.5314,105.2094,0.0,695.5676,5.35,99,1b6l,310,ligand_decoy_169
960,5.0271644224,-24.4265959612,-0.1916389323,7.5,39.0,7.5,15.0,-0.0216746295,-1.429865406,10.0,-49.480355212,25.9009,34.7891,23.1623,87.2643,113.445,103.9942,271.6793,112.1916,0.0,772.4267,5.1,99,1b6l,119,ligand_decoy_233
961,4.7603867745,-22.8362796177,-0.2095507581,7.5,39.0,7.5,15.0,-0.0462025351,-3.32931111,10.0,-53.7063871866,31.8104,30.0962,12.8119,79.1374,127.7055,118.8113,269.7261,97.1256,0.0,767.2244,4.84,99,1b6l,85,ligand_decoy_146
962,4.4767755311,-23.5560826943,-0.1306492388,7.5,39.0,7.5,15.0,-0.022070714100000003,-2.2588998134,10.0,-59.515525298,29.625,41.1741,22.3447,94.405,127.1339,95.8373,281.2035,129.0561,0.0,820.7796,4.54,99,1b6l,63,ligand_decoy_304
963,4.1555069111,-13.160167556500001,0.0130781267,7.5,39.0,7.5,15.0,0.0009828766,-1.4039658741,10.0,-48.04623556399999,50.6686,13.0082,13.6405,69.4024,65.9251,59.4285,308.3033,102.9766,0.0,683.3532,4.36,99,1b6l,4,ligand_decoy_281
964,3.7817864212,-17.5778384634,-0.2775966254,7.5,39.0,7.5,15.0,-0.05574524,-2.7345167341,10.0,-56.505084295699994,36.5695,22.6034,5.6158,56.1037,107.3736,109.3435,159.4134,82.7127,0.0,579.7356,3.91,99,1b6l,437,ligand_decoy_212
965,3.4500215593,-13.8810928728,-0.1514216756,7.5,39.0,7.5,15.0,-0.034481364900000006,-1.885949488,10.0,-28.9732510846,39.2728,16.7101,1.2066,67.0007,76.1545,104.2716,151.3568,77.4173,0.0,533.3904,3.45,99,1b6l,239,ligand_decoy_285
966,2.9948836794,-13.045713776900001,-0.1802111581,7.5,39.0,7.5,15.0,-0.0413835058,-1.8852673423,10.0,-29.1240419588,46.1763,21.6277,0.0,34.5952,85.2595,79.1172,116.77,66.6232,0.0,450.1691,3.01,99,1b6l,339,ligand_decoy_433
967,1.1921046225,-5.3931685975,-0.0588185631,7.5,39.0,7.5,15.0,-0.0111197084,-0.0,10.0,-1.0894233573999998,28.9002,3.4084,0.0,8.9904,13.4685,53.9229,19.3216,1.0869,0.0,129.0989,1.21,99,1b6l,379,ligand_decoy_302
968,6.1347416573,-8.3349255962,-0.2891197533,5.0,26.0,5.0,13.0,-0.0553418205,-2.8114158257,6.0,-23.583588569299998,27.4829,16.7617,1.5828,11.3444,45.9714,280.9855,199.253,63.0453,7.6782,654.1052,6.66,59,2d3z,478,ligand_decoy_1
969,4.2594571139,-15.7701670282,-0.26118111920000003,5.0,26.0,5.0,13.0,-0.0370485799,-0.0,6.0,-34.9108306299,38.4116,13.6905,8.3416,2.8874,51.9698,190.4368,92.0348,82.2755,14.8425,494.8905,4.45,59,2d3z,295,ligand_decoy_188
970,4.0621629737000005,-15.357556898499999,-0.4260916759,5.0,26.0,5.0,13.0,-0.0603515572,-0.0,6.0,-42.304343815799996,55.9005,16.6103,3.2036,1.4873,48.2613,192.5111,109.0017,62.9026,14.3387,504.2171,4.33,59,2d3z,145,ligand_decoy_125
971,3.8622062648,-5.868433443,-0.1405953632,5.0,26.0,5.0,13.0,-0.0216012805,-0.0,6.0,-13.3047090959,41.5902,3.1844,0.4937,0.5202,30.5693,227.0546,139.2078,16.2301,1.0422,459.8925,4.03,59,2d3z,441,ligand_decoy_11
972,3.7069484365,-8.148575126799999,-0.1274512224,5.0,26.0,5.0,13.0,-0.0250560184,-0.6738866026000001,6.0,-13.843882925099999,30.8469,0.0,0.6514,8.8773,45.4069,190.8162,98.0417,34.895,3.7262,413.2616,3.72,59,2d3z,496,ligand_decoy_204
973,3.5934701986,-10.4758582129,-0.06968155,5.0,26.0,5.0,13.0,-0.0173910479,-0.3086159175,6.0,-31.444019484499997,49.8342,22.5246,1.6982,2.1159,43.5355,189.3001,120.3133,73.79,7.3393,510.4511,3.61,59,2d3z,439,ligand_decoy_103
974,3.4372955078,-7.3776111226999985,-0.097187425,5.0,26.0,5.0,13.0,-0.0172150103,-0.7004756151,6.0,-12.4200468069,43.3924,0.73,0.9547,0.5202,52.9213,177.1958,110.4612,17.9232,0.6566,404.7554,3.54,59,2d3z,125,ligand_decoy_156
975,3.3020326169,-11.6225304648,-0.1267910814,5.0,26.0,5.0,13.0,-0.0282466999,-1.2757224825,6.0,-37.2893699972,41.8745,7.1377,8.4561,6.0824,54.9462,163.0568,81.8328,31.1881,6.0294,400.604,3.52,59,2d3z,56,ligand_decoy_65
976,3.0808267027,-9.7084809749,-0.0641877099,5.0,26.0,5.0,13.0,-0.0196795367,-1.2631064545,6.0,-23.268635298200003,35.0856,6.1476,1.081,9.0787,41.566,174.3529,81.0597,64.0126,6.9806,419.3647,3.07,59,2d3z,188,ligand_decoy_390
977,2.7025659097,-1.9997431266,0.039535111,5.0,26.0,5.0,13.0,0.0031246674,-0.0,6.0,-3.5754263446,25.2475,0.4172,0.0,2.3056,15.7563,181.9752,126.7411,15.6613,0.8562,368.9604,2.91,59,2d3z,24,ligand_decoy_338
978,1.5351432257,-4.4732401093,-0.237944156,5.0,26.0,5.0,13.0,-0.0416182226,-0.2004848217,6.0,-11.458683468599999,31.6836,18.3763,5.0979,8.3215,25.1829,70.3176,69.8523,18.1534,4.2724,251.2579,1.57,59,2d3z,232,ligand_decoy_361
979,5.434918848300001,-24.1676519865,-0.2987284723,7.0,21.0,7.0,1.0,-0.0751313807,-8.3056153358,8.0,-70.2157214274,63.81800000000001,54.7637,148.7197,5.0152,7.5070000000000014,86.1335,21.1763,146.8993,0.0,534.0327,5.7,2,2bvd,478,ligand_decoy_1
980,3.701777332,-19.3541311964,-0.3604223162,7.0,21.0,7.0,1.0,-0.0882315121,-4.9049796582,8.0,-56.889909824200004,60.6658,46.8822,111.6532,9.1331,8.3872,85.4076,7.5752,123.1344,0.0,452.8387,3.78,2,2bvd,487,ligand_decoy_66
981,3.5091335184,-19.6169113238,-0.2201350188,7.0,21.0,7.0,1.0,-0.0356036046,-3.5498422134,8.0,-51.0493563361,64.5573,51.6597,89.9753,5.4581,12.2314,86.9117,10.083,129.0581,0.0,449.9346,3.57,2,2bvd,407,ligand_decoy_86
982,3.4062248714,-19.6071559068,-0.2364258317,7.0,21.0,7.0,1.0,-0.0404519735,-4.9779912528,8.0,-55.9735387625,65.595,53.4495,98.6098,5.5786,11.1259,75.1874,8.0742,121.4329,0.0,439.0533,3.5,2,2bvd,321,ligand_decoy_330
983,3.2791477289,-19.0033249341,-0.33720735770000004,7.0,21.0,7.0,1.0,-0.0827890163,-4.6202095006,8.0,-47.4867367269,58.8664,49.9318,115.7129,4.3124,7.0156,81.6143,12.7218,120.1492,0.0,450.3244,3.3,2,2bvd,201,ligand_decoy_21
984,3.1981997725,-18.50962015,-0.1352922305,7.0,21.0,7.0,1.0,-0.0155939974,-3.3063602079,8.0,-51.3293147993,54.2181,48.5418,113.6604,6.0561,5.945,86.3345,16.7474,109.7721,0.0,441.2754,3.27,2,2bvd,371,ligand_decoy_456
985,3.1075330736,-19.1151308148,-0.6832312652,7.0,21.0,7.0,1.0,-0.1657394004,-3.6207927011,8.0,-44.7733225001,49.3428,42.7409,127.9791,3.7457,12.7692,69.8512,12.2096,100.6661,0.0,419.3046,3.15,2,2bvd,31,ligand_decoy_388
986,3.0110131245,-17.3009166488,-0.3066648341,7.0,21.0,7.0,1.0,-0.0620385842,-2.4051650543000003,8.0,-33.014120843600004,35.7175,40.7453,82.8474,16.2349,9.5334,96.6847,21.8815,119.2416,0.0,422.8863,3.02,2,2bvd,241,ligand_decoy_150
987,2.9034248113,-24.7262266262,-0.366524953,7.0,21.0,7.0,1.0,-0.045733101500000005,-4.615705872,8.0,-62.8002768905,44.6454,43.2986,135.4933,36.6319,15.9518,107.9858,13.9214,147.6754,0.0,545.6036,3.03,2,2bvd,337,ligand_decoy_90
988,2.6948569298,-17.6921602148,-0.651192422,7.0,21.0,7.0,1.0,-0.124619951,-1.1619435137,8.0,-39.4357524446,25.0788,36.9275,118.0246,7.3358,5.3268,77.937,23.1332,100.4693,0.0,394.233,2.69,2,2bvd,185,ligand_decoy_239
989,-0.2521518573,-22.3960975989,-0.3186500607,7.0,21.0,7.0,1.0,-0.038434876,-5.0681445087,8.0,-64.7065880609,65.1612,41.1603,114.3268,3.2311,3.5511,61.0655,18.3689,136.3696,0.0,443.2345,-0.13,2,2bvd,344,ligand_decoy_231
990,6.0526787961,-19.8362468385,0.0046796662,5.0,30.0,5.0,8.0,0.0006454712000000001,-0.518210685,6.0,-81.6327720036,0.0,7.2408,15.5196,18.4126,142.0843,201.5474,113.413,212.5214,65.6242,776.3633,7.29,67,2j34,481,ligand_decoy_0
991,4.248447429,-11.6837988845,-0.1130821533,5.0,30.0,5.0,8.0,-0.0197528857,-1.3902789507,6.0,-34.9005617699,0.0,0.0,47.7964,40.9274,104.172,140.4358,97.6717,91.0188,53.9903,576.0124,4.51,67,2j34,377,ligand_decoy_409
992,4.0681042427,-9.7065592311,0.054417623099999986,5.0,30.0,5.0,8.0,0.004518298400000001,-0.5448877163,6.0,-24.1621654813,25.8866,6.0154,8.3279,9.3702,78.32600000000002,143.7086,59.6854,51.1219,67.6316,450.0736,4.09,67,2j34,258,ligand_decoy_110
993,3.9366775045,-9.9680117416,-0.0558772682,5.0,30.0,5.0,8.0,-0.0115084581,-1.1789458119,6.0,-27.107780637399998,12.948,7.0616,9.2425,11.8011,117.1237,134.8721,69.2846,77.7567,57.4083,497.4986,4.05,67,2j34,11,ligand_decoy_140
994,3.7989134127,-7.8751007151999985,0.0767083842,5.0,30.0,5.0,8.0,0.006212660300000001,-0.4910128758,6.0,-23.273828407399996,21.1481,6.707999999999998,5.0066,9.0204,86.6315,146.9872,42.2014,57.4109,66.8094,441.9235,3.86,67,2j34,262,ligand_decoy_174
995,3.655274066,-9.7730794392,-0.0554665138,5.0,30.0,5.0,8.0,-0.0095647096,-1.5410918296,6.0,-48.0685116553,71.9158,3.8578,6.8142,9.5114,88.4865,119.4047,23.9422,89.1561,64.3744,477.4631,3.8,67,2j34,94,ligand_decoy_419
996,3.5632357408,-5.5013070282,-0.07305560400000001,5.0,30.0,5.0,8.0,-0.0070928482999999985,-0.1367812152,6.0,-11.616361813900001,9.5945,0.0,29.1739,12.6116,45.3229,142.6831,51.6949,65.73,67.1411,423.952,3.62,67,2j34,412,ligand_decoy_362
997,3.43493367,-7.650623435599999,-0.0608943398,5.0,30.0,5.0,8.0,-0.0098947801,-0.4515217742,6.0,-19.386991548399997,36.0201,0.9827,1.2907,7.9513,86.15,142.4352,54.2894,43.5043,68.5518,441.1755,3.48,67,2j34,213,ligand_decoy_327
998,3.2821036936000003,-6.830405578,0.025386088900000003,5.0,30.0,5.0,8.0,0.0016943619,-0.052422530300000006,6.0,-13.2839513289,23.1197,8.6174,6.4086,7.4525,74.6302,119.4432,58.453,41.3038,65.857,405.2854,3.31,67,2j34,265,ligand_decoy_216
999,3.0970221619,-7.2716658271,-0.056339366900000014,5.0,30.0,5.0,8.0,-0.0128654146,-0.3727082737,6.0,-29.0554826485,38.8162,4.7177,6.0106,7.4742,93.7274,128.6028,35.1444,45.2205,67.8243,427.5381,3.15,67,2j34,470,ligand_decoy_217
1000,1.6380372029,-3.3179860244,-0.046803996900000006,5.0,30.0,5.0,8.0,-0.0077383194999999984,-0.0,6.0,-6.7006952064,13.867,0.0,10.0425,5.7389,48.2017,80.0402,13.6721,36.6064,38.6435,246.8123,1.66,67,2j34,98,ligand_decoy_144
1001,4.8243911119,-13.921522841600002,-0.1937440486,2.0,11.0,2.0,1.0,-0.054468967400000005,-4.9119771528,2.0,-53.5101419371,22.0783,0.0,105.4631,4.365,21.7452,28.126,101.6015,94.9977,0.0,378.3768,3.57,107,2aac,453,ligand_decoy_0
1002,2.5099441008000003,-9.1268820841,-0.2126900953,2.0,11.0,2.0,1.0,-0.0349287938,-1.8381626145,2.0,-32.115756961399995,28.4506,0.0,59.8351,8.1126,24.8864,16.8324,69.3316,59.5377,0.0,266.9864,2.32,107,2aac,216,ligand_decoy_38
1003,2.2965351853,-14.779339396600001,-0.2461152346,2.0,11.0,2.0,1.0,-0.0506401496,-2.9943775713,2.0,-48.01748275600001,17.7302,0.0,131.1303,4.365,20.9128,28.1261,82.8268,61.0194,0.0,346.1106,2.08,107,2aac,43,ligand_decoy_202
1004,2.1581256223,-8.887764344099999,-0.131808153,2.0,11.0,2.0,1.0,-0.022518143,-1.8958222634,2.0,-25.4699488117,21.6748,0.0,60.8616,9.6629,17.028,11.1562,30.0733,56.887,0.0,207.3438,2.14,107,2aac,351,ligand_decoy_105
1005,2.0285032695,-8.9615167636,-0.1555438894,2.0,11.0,2.0,1.0,-0.0292295765,-1.5700720195,2.0,-21.055989364200002,19.1207,0.0,66.3412,5.3038,17.8471,4.6098,36.0549,46.2897,0.0,195.5672,2.02,107,2aac,390,ligand_decoy_164
1006,1.916829417,-8.356431523,-0.116184816,2.0,11.0,2.0,1.0,-0.022151398,-1.2600551361,2.0,-21.659152861,15.6582,0.0,64.7992,10.1648,20.4101,10.4643,14.0596,49.524,0.0,185.0802,1.91,107,2aac,70,ligand_decoy_237
1007,1.8209402693,-7.8479102409,-0.0737377497,2.0,11.0,2.0,1.0,-0.0159680773,-0.5134870094,2.0,-18.3251254103,20.3567,0.0,46.8152,13.3844,24.8466,10.5634,70.1152,48.5461,0.0,234.6276,1.82,107,2aac,254,ligand_decoy_195
1008,1.7245376786000002,-7.3534426272000015,-0.0492025092,2.0,11.0,2.0,1.0,-0.0157186907,-0.8245381137000001,2.0,-11.7954947417,15.7301,0.0,35.2286,10.6847,23.3657,9.9507,43.9534,52.7017,0.0,191.6149,1.73,107,2aac,167,ligand_decoy_224
1009,1.6010473022,-5.8873868246,-0.08944177060000001,2.0,11.0,2.0,1.0,-0.0140463335,-0.4818369159000001,2.0,-12.0986168191,16.2152,0.0,28.3815,9.9799,18.1997,7.0481,60.0172,38.2395,0.0,178.0811,1.6,107,2aac,199,ligand_decoy_248
1010,1.3720223846,-5.5455658148,-0.08079392349999999,2.0,11.0,2.0,1.0,-0.0120879152,-0.3525299638,2.0,-9.4443072165,11.216,0.0,29.5403,9.5791,15.4254,5.1047,57.9375,29.8883,0.0,158.6913,1.37,107,2aac,286,ligand_decoy_348
1011,-3.9387899557,-12.3149890342,-0.15395221609999998,2.0,11.0,2.0,1.0,-0.0328530171,-3.9956207609,2.0,-63.332607258,33.7794,0.0,113.7496,4.4936,42.067,50.3049,111.7201,85.4458,0.0,441.5604,-4.2,107,2aac,23,ligand_decoy_461
1012,6.2862733564,-19.8110734617,-0.0157920397,5.0,31.0,5.0,11.0,-0.0034987473,-0.3671337497,6.0,-86.0832445833,0.0,76.4417,35.2836,11.9441,118.9532,160.9621,95.8231,202.7198,66.5305,768.6581,6.81,88,2cji,204,ligand_decoy_35
1013,4.7462377524,-11.4524634734,-0.0183812594,5.0,31.0,5.0,11.0,-0.0063593583,-1.1265746259,6.0,-24.8846604662,13.2395,77.4391,0.1053,13.8883,91.2637,172.87,82.29700000000003,67.0305,69.1238,587.2572,4.89,88,2cji,66,ligand_decoy_215
1014,4.4972985813,-7.6687699782,0.0157627001,5.0,31.0,5.0,11.0,0.0007188202000000001,-0.0,6.0,-23.0377326462,17.5192,0.0,9.9754,11.3081,71.0589,176.8968,62.7367,67.2759,67.9771,484.7481,4.55,88,2cji,170,ligand_decoy_102
1015,4.3495443557,-8.7706773354,-0.0445155081,5.0,31.0,5.0,11.0,-0.0091759599,-2.1141015525,6.0,-32.8464817041,35.6351,3.997,2.7988,9.4482,62.7837,161.8654,35.6569,42.1641,61.3881,415.7373,4.42,88,2cji,18,ligand_decoy_25
1016,4.2186237256,-7.0526457131,-0.0266696964,5.0,31.0,5.0,11.0,-0.0059486039,-0.3652853549,6.0,-17.2059810381,9.2934,0.0,16.912,7.7054,53.6405,168.8845,29.7439,68.2393,68.8855,423.3045,4.29,88,2cji,327,ligand_decoy_142
1017,4.0748816903,-7.558819827200002,-0.0652219308,5.0,31.0,5.0,11.0,-0.0084864793,-0.0,6.0,-7.151820896,18.3054,5.9583,2.043,2.323,37.9724,172.3769,70.1236,50.4106,67.8474,427.3606,4.14,88,2cji,499,ligand_decoy_321
1018,3.9423327124,-5.182473595,0.0699969507,5.0,31.0,5.0,11.0,0.010782303,-0.1494705922,6.0,-14.339802849000002,8.5793,0.0,34.441,0.753,61.4196,171.3751,82.4977,54.7875,69.4674,483.3206,4.07,88,2cji,496,ligand_decoy_204
1019,3.7979232012,-6.8485007763,0.0192101031,5.0,31.0,5.0,11.0,0.0030219788,-0.3982483955,6.0,-24.2116027073,15.5136,0.0,30.5022,1.0837,80.4099,130.8694,97.4163,69.4151,66.6444,491.8546,3.93,88,2cji,460,ligand_decoy_7
1020,3.637303561,-5.3882322098,0.0497893012,5.0,31.0,5.0,11.0,0.0031246674,-0.3023299082,6.0,-6.506672431599998,17.105999999999998,0.0,18.805,0.8689,42.5866,152.5945,54.2876,39.7588,65.3633,391.3707,3.7,88,2cji,45,ligand_decoy_202
1021,3.3360225435000004,-6.8311977472,-0.0539921989,5.0,31.0,5.0,11.0,-0.008134404100000001,-1.469620564,6.0,-27.7685084294,21.1243,1.2187,20.837,8.8888,66.5024,155.0024,24.6676,79.6038,67.4921,445.3371,3.39,88,2cji,379,ligand_decoy_302
1022,1.3587242109,-1.6430542745,-0.0195034991,5.0,31.0,5.0,11.0,-0.0060732972,-0.4544850738,6.0,-6.5746009405,5.7098,0.0,18.0313,0.0,38.5795,68.0151,6.5423,28.7876,26.1393,191.8049,1.4,88,2cji,36,ligand_decoy_126
1023,4.5927329652,-35.4160218674,-0.6144739126,5.0,21.0,5.0,1.0,-0.1457591328,-6.4312549898,6.0,-114.586519285,0.6354,69.2661,27.453000000000007,35.1925,82.699,91.4011,60.0749,133.5938,0.0,500.3158,5.28,92,2j4k,481,ligand_decoy_0
1024,2.7751814197000004,-21.8540338191,-0.5571736738,5.0,21.0,5.0,1.0,-0.1178204987,-5.5337346211,6.0,-50.403430372299994,38.2953,81.7429,56.4693,15.2976,24.9088,15.4226,39.8976,77.6146,0.0,349.6487,2.87,92,2j4k,273,ligand_decoy_310
1025,2.5520684315,-19.730961683900002,-0.4189181437,5.0,21.0,5.0,1.0,-0.0833904781,-3.2484291677,6.0,-35.680151616399996,43.1474,60.5049,49.7706,20.6023,48.8978,22.0277,32.6335,53.4389,0.0,331.0231,2.58,92,2j4k,453,ligand_decoy_484
1026,2.3747105495,-18.9793618158,-0.7451231514,5.0,21.0,5.0,1.0,-0.1536881597,-1.9727360248,6.0,-29.0886657361,50.0771,81.1691,48.2009,1.8996,22.7768,0.0,30.4626,40.7848,0.0,275.3709,2.37,92,2j4k,263,ligand_decoy_326
1027,2.207878249,-21.2083279023,-0.4743993273,5.0,21.0,5.0,1.0,-0.0896764874,-3.4909429664,6.0,-43.134199732,23.8539,46.3193,47.3258,13.1796,40.3239,18.5948,28.011,74.6729,0.0,292.2812,2.26,92,2j4k,189,ligand_decoy_184
1028,2.0502732527000003,-11.4136251779,-0.0583197899,5.0,21.0,5.0,1.0,-0.0044962937,-2.0696813981,6.0,-34.515963623299996,58.3593,24.6393,7.9031,24.6696,58.6036,30.9244,42.5562,28.7385,0.0,276.394,2.12,92,2j4k,12,ligand_decoy_319
